,,Nombre,Min,PTS,2p_A/I,2p_%,3p_A/I,3p_%,ft_A/I,ft_%,Def.,Ofe.,Tot.,AS,REC,PÉR,Com.,Rec.,Com.,Rec.,VAL
,2,"COOPER, T.",12:54,3,0/2,0,1/2,50,0/0,0,0,2,2,0,0,1,0,0,2,0,-1
,4,"STENTA, N.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,5,"GUERRERO, J.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,6,"SCALA, S.",38:20,17,2/2,100,3/8,37,4/4,100,3,0,3,2,1,3,0,0,2,5,18
,10,"PIÑERO, F.",29:27,15,1/3,33,3/9,33,4/4,100,6,1,7,0,0,2,0,0,4,2,10
,11,"VILDOZA, J.",35:58,11,2/7,28,1/6,16,4/4,100,6,0,6,3,2,3,0,1,3,4,9
,12,"DELIA, M.",18:10,2,1/4,25,0/0,0,0/2,0,5,3,8,0,1,0,0,2,1,3,6
,17,"VEGA, S.",32:14,9,3/7,42,1/2,50,0/0,0,4,1,5,1,2,2,0,0,3,0,7
,19,"IBARGUEN, A.",25:50,14,5/11,45,0/0,0,4/5,80,4,1,5,1,1,1,1,2,2,7,17
,20,"DROCEZESKY, T.",00:00,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
,44,"CUELLO, M.",19:38,0,0/0,0,0/3,0,0/0,0,5,1,6,2,2,1,0,0,1,0,5
,99,"GIORGETTI, F.",12:28,4,2/4,50,0/2,0,0/0,0,0,2,2,1,1,0,0,0,2,0,2
